wid,arm,genome,gc,decoder,L,span_start,exact,nt_acc,max_run_nt,lead_nt
6,dinuc_human,chr21,0.503,teacher_forced,12,2037,0,0.08333333333333333,1,
6,dinuc_human,chr21,0.503,teacher_forced,12,2326,0,0.4166666666666667,1,
6,dinuc_human,chr21,0.503,teacher_forced,30,1539,0,0.4,2,
6,dinuc_human,chr21,0.503,teacher_forced,30,1163,0,0.4,2,
6,dinuc_human,chr21,0.503,teacher_forced,60,1201,0,0.2833333333333333,3,
6,dinuc_human,chr21,0.503,teacher_forced,60,1210,0,0.25,2,
6,dinuc_human,chr21,0.503,teacher_forced,120,1143,0,0.2833333333333333,3,
6,dinuc_human,chr21,0.503,teacher_forced,120,1939,0,0.25833333333333336,4,
6,dinuc_human,chr21,0.503,teacher_forced,240,1538,0,0.2791666666666667,3,
6,dinuc_human,chr21,0.503,teacher_forced,240,973,0,0.2625,4,
7,markov5_human,chr21,0.4297,teacher_forced,6,1873,0,0.3333333333333333,2,
7,markov5_human,chr21,0.4297,teacher_forced,6,771,0,0.0,0,
7,markov5_human,chr21,0.4297,teacher_forced,12,2729,0,0.4166666666666667,2,
7,markov5_human,chr21,0.4297,teacher_forced,12,1157,0,0.16666666666666666,1,
7,markov5_human,chr21,0.4297,teacher_forced,30,1163,0,0.3333333333333333,2,
7,markov5_human,chr21,0.4297,teacher_forced,30,2127,0,0.26666666666666666,2,
7,markov5_human,chr21,0.4297,teacher_forced,60,2457,0,0.45,3,
7,markov5_human,chr21,0.4297,teacher_forced,60,2503,0,0.38333333333333336,4,
7,markov5_human,chr21,0.4297,teacher_forced,120,2257,0,0.26666666666666666,4,
7,markov5_human,chr21,0.4297,teacher_forced,120,609,0,0.25,5,
7,markov5_human,chr21,0.4297,teacher_forced,240,2197,0,0.2833333333333333,4,
7,markov5_human,chr21,0.4297,teacher_forced,240,1884,0,0.3375,5,
