dms_id,organism,rho_esm,wt_agreement,mean_wt_logprob,mean_entropy,frac_confident,score_dispersion,length,n_variants
NUD15_HUMAN_Suiter_2020,Homo sapiens,0.5255911402272375,0.48466257668711654,-1.8840756044893432,1.7177074196908417,0.36809815950920244,3.625782273594938,164.0,2844.0
P53_HUMAN_Giacomelli_NULL_Etoposide_2018,Homo sapiens,0.4323385599158205,0.41475826972010177,-1.8953482100107308,1.8564769761641593,0.3282442748091603,3.309553102074251,393.0,7467.0
P53_HUMAN_Giacomelli_NULL_Nutlin_2018,Homo sapiens,0.40426880200279197,0.41475826972010177,-1.8953482100107308,1.8564769761641593,0.3282442748091603,3.309553102074251,393.0,7467.0
P53_HUMAN_Giacomelli_WT_Nutlin_2018,Homo sapiens,0.40015125467382845,0.41475826972010177,-1.8953482100107308,1.8564769761641593,0.3282442748091603,3.309553102074251,393.0,7467.0
P84126_THETH_Chan_2017,Thermus thermophilus,0.6046739267075025,0.8125,-0.4726787055347813,0.5560134628918604,0.8625,3.9443765587570634,254.0,1519.0
PTEN_HUMAN_Matreyek_2021,Homo sapiens,0.4650303765193299,0.7101827676240209,-0.8674328311942948,0.8519132075856827,0.741514360313316,4.606787245398822,403.0,5083.0
PTEN_HUMAN_Mighell_2018,Homo sapiens,0.5185316521668099,0.707196029776675,-0.8804655452647236,0.8606987462960248,0.739454094292804,4.656079061643246,403.0,7260.0
R1AB_SARS2_Flynn_growth_2022,SARS-COV2,0.10475670561801416,0.17491749174917492,-2.6458683334254096,2.6438215114053327,0.0462046204620462,1.7140113917068311,306.0,5725.0
RASH_HUMAN_Bandaru_2017,Homo sapiens,0.4975785612980777,0.7757575757575758,-0.6857934383669283,0.8325428693858681,0.7757575757575758,4.073614996606613,189.0,3134.0
REV_HV1H2_Fernandes_2016,Human immunodeficiency virus type 1 group M subtype B (isolate BRU/LAI) (HIV-1),0.2403822450040124,0.9026548672566371,-0.25126599606056493,0.3425165552118447,0.9734513274336283,2.687308654888519,116.0,2147.0
RL401_YEAST_Mavor_2016,Saccharomyces cerevisiae S288C,0.5178520925871772,0.8,-0.6105289564778408,0.9260237219929696,0.7733333333333333,3.0392338037603492,128.0,1253.0
RL401_YEAST_Roscoe_2014,Saccharomyces cerevisiae S288C,0.5300172230531615,0.8,-0.6105289564778408,0.9260237219929696,0.7733333333333333,3.0544667905493124,128.0,1380.0
SUMO1_HUMAN_Weile_2017,Homo sapiens,0.5093076909878026,0.7604166666666666,-0.7676505080356341,1.00211223125613,0.7083333333333334,3.526973989507392,101.0,1700.0
SYUA_HUMAN_Newberry_2020,Homo sapiens,0.1372572280738241,0.41007194244604317,-1.9227008649529955,1.7808357309952056,0.35251798561151076,3.5911904355687674,140.0,2497.0
TAT_HV1BR_Fernandes_2016,Human immunodeficiency virus type 1 group M subtype B (isolate BRU/LAI) (HIV-1),0.0174419617215868,0.1566265060240964,-2.77453142727714,2.776839369750885,0.024096385542168676,1.0472094911807361,86.0,1577.0
TPK1_HUMAN_Weile_2017,Homo sapiens,0.33859678441521807,0.8796680497925311,-0.38633116035698284,0.35469897730755173,0.946058091286307,3.4682283709748356,243.0,3181.0
TPMT_HUMAN_Matreyek_2018,Homo sapiens,0.538658444455702,0.6348547717842323,-1.2417684555026176,1.208796499026514,0.6141078838174274,3.819257334626571,245.0,3648.0
TRPC_SACS2_Chan_2017,Thermus thermophilus,0.6525339432224486,0.65,-0.8826030019401514,0.8528395909597748,0.7375,4.237344405504221,248.0,1519.0
TRPC_THEMA_Chan_2017,Thermus thermophilus,0.46369862859920863,0.6875,-0.8184721721557253,0.8579623881494627,0.7375,4.312686189529979,252.0,1519.0
UBC9_HUMAN_Weile_2017,Homo sapiens,0.47258615437550405,0.5126582278481012,-1.513801989289991,1.6010801874667029,0.47468354430379744,3.1831866890612517,159.0,2563.0
VKOR1_HUMAN_Chiasson_abundance_2020,Homo sapiens,0.49329933527925196,0.48148148148148145,-1.5708530012740578,1.4825663047995028,0.43209876543209874,3.816008062666153,163.0,2695.0
