round,n_seen,chosen,best_action,got,best_possible,regret,explore_would_get,assay,est_supervised,est_esm2_wtm
1,48,supervised,esm2_wtm,1,5,4,0,A4GRB6_PSEAI_Chen_2020,3.84,1.92
2,96,supervised,supervised,9,9,0,0,A4GRB6_PSEAI_Chen_2020,6.72,0.96
3,144,supervised,supervised,2,2,0,0,A4GRB6_PSEAI_Chen_2020,5.142857142857142,3.673469387755102
0,0,explore,esm2_wtm,0,5,5,0,A4GRB6_PSEAI_Chen_2020,,
1,48,esm2_wtm,esm2_wtm,5,5,0,0,A4GRB6_PSEAI_Chen_2020,0.0,3.84
2,96,supervised,supervised,7,7,0,3,A4GRB6_PSEAI_Chen_2020,2.88,1.92
3,144,supervised,supervised,3,3,0,1,A4GRB6_PSEAI_Chen_2020,7.346938775510204,1.4693877551020407
0,0,explore,esm2_wtm,1,5,4,1,A4GRB6_PSEAI_Chen_2020,,
1,48,esm2_wtm,esm2_wtm,5,5,0,2,A4GRB6_PSEAI_Chen_2020,0.0,5.76
2,96,supervised,supervised,6,6,0,0,A4GRB6_PSEAI_Chen_2020,3.84,2.88
3,144,supervised,supervised,4,4,0,2,A4GRB6_PSEAI_Chen_2020,6.612244897959183,1.4693877551020407
0,0,explore,esm2_wtm,1,5,4,1,A4GRB6_PSEAI_Chen_2020,,
1,48,supervised,esm2_wtm,2,5,3,0,A4GRB6_PSEAI_Chen_2020,1.92,0.0
2,96,supervised,esm2_wtm,2,5,3,1,A4GRB6_PSEAI_Chen_2020,2.88,0.0
3,144,supervised,esm2_wtm,4,5,1,1,A4GRB6_PSEAI_Chen_2020,2.204081632653061,0.7346938775510203
0,0,explore,esm2_wtm,1,5,4,1,A4GRB6_PSEAI_Chen_2020,,
1,48,supervised,supervised,4,4,0,0,A4GRB6_PSEAI_Chen_2020,3.84,1.92
2,96,supervised,supervised,6,6,0,1,A4GRB6_PSEAI_Chen_2020,4.8,2.88
3,144,supervised,esm2_wtm,0,2,2,0,A4GRB6_PSEAI_Chen_2020,6.612244897959183,4.408163265306122
0,0,explore,esm2_wtm,0,5,5,0,A4GRB6_PSEAI_Chen_2020,,
1,48,supervised,supervised,5,5,0,1,A4GRB6_PSEAI_Chen_2020,3.84,1.92
2,96,supervised,supervised,5,5,0,1,A4GRB6_PSEAI_Chen_2020,6.72,3.84
3,144,supervised,esm2_wtm,1,2,1,1,A4GRB6_PSEAI_Chen_2020,8.081632653061224,3.673469387755102
0,0,explore,esm2_wtm,0,5,5,0,A4GRB6_PSEAI_Chen_2020,,
1,48,esm2_wtm,esm2_wtm,5,5,0,1,A4GRB6_PSEAI_Chen_2020,0.0,1.92
2,96,supervised,supervised,8,8,0,1,A4GRB6_PSEAI_Chen_2020,2.88,2.88
3,144,supervised,supervised,2,2,0,0,A4GRB6_PSEAI_Chen_2020,7.346938775510204,1.4693877551020407
0,0,explore,esm2_wtm,0,5,5,0,A4GRB6_PSEAI_Chen_2020,,
1,48,supervised,esm2_wtm,0,5,5,0,A4GRB6_PSEAI_Chen_2020,3.84,3.84
2,96,esm2_wtm,esm2_wtm,5,5,0,0,A4GRB6_PSEAI_Chen_2020,1.92,2.88
3,144,supervised,supervised,7,7,0,0,A4GRB6_PSEAI_Chen_2020,3.673469387755102,2.204081632653061
0,0,explore,esm2_wtm,0,5,5,0,A4GRB6_PSEAI_Chen_2020,,
1,48,esm2_wtm,esm2_wtm,5,5,0,0,A4GRB6_PSEAI_Chen_2020,1.92,3.84
2,96,esm2_wtm,supervised,1,6,5,0,A4GRB6_PSEAI_Chen_2020,1.92,2.88
3,144,supervised,supervised,9,9,0,0,A4GRB6_PSEAI_Chen_2020,2.9387755102040813,2.204081632653061
0,0,explore,esm2_wtm,0,5,5,0,A4GRB6_PSEAI_Chen_2020,,
1,48,esm2_wtm,esm2_wtm,4,4,0,0,A4GRB6_PSEAI_Chen_2020,0.0,5.76
2,96,esm2_wtm,supervised,1,7,6,0,A4GRB6_PSEAI_Chen_2020,1.92,2.88
3,144,supervised,supervised,6,6,0,2,A4GRB6_PSEAI_Chen_2020,2.9387755102040813,1.4693877551020407
0,0,explore,esm2_wtm,0,5,5,0,A4GRB6_PSEAI_Chen_2020,,
1,48,supervised,supervised,8,8,0,1,A4GRB6_PSEAI_Chen_2020,3.84,3.84
2,96,supervised,supervised,2,2,0,1,A4GRB6_PSEAI_Chen_2020,7.68,3.84
3,144,supervised,esm2_wtm,0,2,2,0,A4GRB6_PSEAI_Chen_2020,6.612244897959183,4.408163265306122
0,0,explore,esm2_wtm,1,5,4,1,A4GRB6_PSEAI_Chen_2020,,
1,48,esm2_wtm,esm2_wtm,5,5,0,0,A4GRB6_PSEAI_Chen_2020,0.0,3.84
2,96,supervised,supervised,12,12,0,0,A4GRB6_PSEAI_Chen_2020,2.88,2.88
3,144,supervised,supervised,3,3,0,1,A4GRB6_PSEAI_Chen_2020,7.346938775510204,1.4693877551020407
0,0,explore,esm2_wtm,1,5,4,1,A4GRB6_PSEAI_Chen_2020,,
1,48,esm2_wtm,esm2_wtm,5,5,0,0,A4GRB6_PSEAI_Chen_2020,1.92,3.84
2,96,supervised,supervised,12,12,0,2,A4GRB6_PSEAI_Chen_2020,3.84,1.92
3,144,supervised,supervised,3,3,0,1,A4GRB6_PSEAI_Chen_2020,7.346938775510204,1.4693877551020407
0,0,explore,esm2_wtm,1,5,4,1,A4GRB6_PSEAI_Chen_2020,,
1,48,esm2_wtm,esm2_wtm,5,5,0,0,A4GRB6_PSEAI_Chen_2020,1.92,3.84
2,96,supervised,supervised,7,7,0,0,A4GRB6_PSEAI_Chen_2020,2.88,2.88
3,144,supervised,supervised,2,2,0,1,A4GRB6_PSEAI_Chen_2020,6.612244897959183,1.4693877551020407
0,0,explore,esm2_wtm,1,5,4,1,A4GRB6_PSEAI_Chen_2020,,
1,48,explore,esm2_wtm,1,5,4,1,A4GRB6_PSEAI_Chen_2020,0.0,0.0
2,96,esm2_wtm,esm2_wtm,5,5,0,0,A4GRB6_PSEAI_Chen_2020,0.96,1.92
3,144,supervised,supervised,8,8,0,0,A4GRB6_PSEAI_Chen_2020,2.9387755102040813,2.204081632653061
0,0,explore,esm2_wtm,0,5,5,0,A4GRB6_PSEAI_Chen_2020,,
1,48,supervised,supervised,8,8,0,0,A4GRB6_PSEAI_Chen_2020,3.84,3.84
2,96,supervised,esm2_wtm,3,4,1,0,A4GRB6_PSEAI_Chen_2020,6.72,2.88
3,144,supervised,esm2_wtm,1,3,2,0,A4GRB6_PSEAI_Chen_2020,6.612244897959183,3.673469387755102
0,0,explore,esm2_wtm,1,5,4,1,A4GRB6_PSEAI_Chen_2020,,
1,48,esm2_wtm,esm2_wtm,5,5,0,0,A4GRB6_PSEAI_Chen_2020,0.0,1.92
2,96,supervised,supervised,5,5,0,0,A4GRB6_PSEAI_Chen_2020,3.84,2.88
3,144,supervised,supervised,4,4,0,1,A4GRB6_PSEAI_Chen_2020,6.612244897959183,1.4693877551020407
0,0,explore,esm2_wtm,0,5,5,0,A4GRB6_PSEAI_Chen_2020,,
1,48,supervised,esm2_wtm,0,5,5,1,A4GRB6_PSEAI_Chen_2020,1.92,1.92
2,96,supervised,esm2_wtm,0,5,5,0,A4GRB6_PSEAI_Chen_2020,4.8,1.92
3,144,supervised,esm2_wtm,1,5,4,1,A4GRB6_PSEAI_Chen_2020,3.673469387755102,3.673469387755102
0,0,explore,esm2_wtm,0,5,5,0,A4GRB6_PSEAI_Chen_2020,,
1,48,supervised,esm2_wtm,0,5,5,1,A4GRB6_PSEAI_Chen_2020,3.84,1.92
2,96,supervised,supervised,6,6,0,0,A4GRB6_PSEAI_Chen_2020,2.88,0.96
3,144,supervised,esm2_wtm,4,5,1,0,A4GRB6_PSEAI_Chen_2020,4.408163265306122,0.7346938775510203
0,0,explore,esm2_wtm,0,5,5,0,A4GRB6_PSEAI_Chen_2020,,
1,48,supervised,esm2_wtm,0,5,5,1,A4GRB6_PSEAI_Chen_2020,1.92,0.0
2,96,supervised,esm2_wtm,2,5,3,2,A4GRB6_PSEAI_Chen_2020,2.88,0.96
3,144,supervised,supervised,6,6,0,0,A4GRB6_PSEAI_Chen_2020,2.204081632653061,2.204081632653061
0,0,explore,esm2_wtm,0,5,5,0,A4GRB6_PSEAI_Chen_2020,,
1,48,esm2_wtm,esm2_wtm,5,5,0,1,A4GRB6_PSEAI_Chen_2020,0.0,1.92
2,96,supervised,supervised,8,8,0,0,A4GRB6_PSEAI_Chen_2020,2.88,2.88
3,144,supervised,supervised,2,2,0,1,A4GRB6_PSEAI_Chen_2020,8.081632653061224,1.4693877551020407
0,0,explore,esm2_wtm,0,5,5,0,A4GRB6_PSEAI_Chen_2020,,
1,48,esm2_wtm,esm2_wtm,5,5,0,1,A4GRB6_PSEAI_Chen_2020,0.0,5.76
2,96,supervised,supervised,3,3,0,0,A4GRB6_PSEAI_Chen_2020,2.88,2.88
3,144,supervised,supervised,6,6,0,0,A4GRB6_PSEAI_Chen_2020,5.142857142857142,2.204081632653061
0,0,explore,esm2_wtm,0,5,5,0,A4GRB6_PSEAI_Chen_2020,,
1,48,esm2_wtm,esm2_wtm,5,5,0,0,A4GRB6_PSEAI_Chen_2020,3.84,5.76
2,96,supervised,supervised,7,7,0,0,A4GRB6_PSEAI_Chen_2020,4.8,1.92
3,144,supervised,supervised,6,6,0,1,A4GRB6_PSEAI_Chen_2020,6.612244897959183,1.4693877551020407
0,0,explore,esm2_wtm,0,5,5,0,A4GRB6_PSEAI_Chen_2020,,
1,48,supervised,esm2_wtm,0,5,5,0,A4GRB6_PSEAI_Chen_2020,1.92,1.92
2,96,supervised,esm2_wtm,2,5,3,0,A4GRB6_PSEAI_Chen_2020,1.92,0.0
3,144,supervised,esm2_wtm,2,5,3,1,A4GRB6_PSEAI_Chen_2020,5.142857142857142,0.0
0,0,explore,esm2_wtm,0,5,5,0,A4GRB6_PSEAI_Chen_2020,,
1,48,supervised,esm2_wtm,0,4,4,0,A4GRB6_PSEAI_Chen_2020,3.84,3.84
2,96,esm2_wtm,esm2_wtm,4,4,0,1,A4GRB6_PSEAI_Chen_2020,1.92,2.88
3,144,supervised,supervised,9,9,0,1,A4GRB6_PSEAI_Chen_2020,5.142857142857142,2.204081632653061
0,0,explore,esm2_wtm,1,5,4,1,A4GRB6_PSEAI_Chen_2020,,
1,48,supervised,esm2_wtm,1,5,4,0,A4GRB6_PSEAI_Chen_2020,1.92,1.92
2,96,esm2_wtm,esm2_wtm,4,4,0,1,A4GRB6_PSEAI_Chen_2020,2.88,3.84
3,144,supervised,supervised,8,8,0,0,A4GRB6_PSEAI_Chen_2020,3.673469387755102,2.204081632653061
0,0,explore,esm2_wtm,1,5,4,1,A4GRB6_PSEAI_Chen_2020,,
1,48,esm2_wtm,esm2_wtm,5,5,0,0,A4GRB6_PSEAI_Chen_2020,0.0,1.92
2,96,esm2_wtm,supervised,1,8,7,0,A4GRB6_PSEAI_Chen_2020,1.92,2.88
3,144,supervised,supervised,8,8,0,0,A4GRB6_PSEAI_Chen_2020,3.673469387755102,1.4693877551020407
0,0,explore,esm2_wtm,0,5,5,0,A4GRB6_PSEAI_Chen_2020,,
1,48,esm2_wtm,esm2_wtm,5,5,0,0,A4GRB6_PSEAI_Chen_2020,3.84,5.76
2,96,supervised,supervised,6,6,0,0,A4GRB6_PSEAI_Chen_2020,3.84,2.88
3,144,supervised,supervised,4,4,0,0,A4GRB6_PSEAI_Chen_2020,6.612244897959183,1.4693877551020407
0,0,explore,esm2_wtm,0,5,5,0,A4GRB6_PSEAI_Chen_2020,,
1,48,supervised,esm2_wtm,3,5,2,0,A4GRB6_PSEAI_Chen_2020,1.92,1.92
2,96,supervised,supervised,11,11,0,0,A4GRB6_PSEAI_Chen_2020,2.88,1.92
3,144,supervised,supervised,2,2,0,0,A4GRB6_PSEAI_Chen_2020,6.612244897959183,3.673469387755102
0,0,explore,esm2_wtm,0,5,5,0,A4GRB6_PSEAI_Chen_2020,,
1,48,supervised,esm2_wtm,1,5,4,0,A4GRB6_PSEAI_Chen_2020,1.92,1.92
2,96,supervised,esm2_wtm,3,5,2,1,A4GRB6_PSEAI_Chen_2020,5.76,1.92
3,144,supervised,esm2_wtm,0,5,5,0,A4GRB6_PSEAI_Chen_2020,8.081632653061224,2.204081632653061
0,0,explore,esm2_wtm,1,5,4,1,A4GRB6_PSEAI_Chen_2020,,
1,48,esm2_wtm,esm2_wtm,5,5,0,1,A4GRB6_PSEAI_Chen_2020,0.0,3.84
2,96,supervised,supervised,8,8,0,0,A4GRB6_PSEAI_Chen_2020,2.88,2.88
3,144,supervised,supervised,1,1,0,0,A4GRB6_PSEAI_Chen_2020,8.081632653061224,1.4693877551020407
0,0,explore,esm2_wtm,0,5,5,0,A4GRB6_PSEAI_Chen_2020,,
1,48,esm2_wtm,esm2_wtm,5,5,0,0,A4GRB6_PSEAI_Chen_2020,0.0,3.84
2,96,supervised,supervised,9,9,0,1,A4GRB6_PSEAI_Chen_2020,3.84,2.88
3,144,supervised,explore,0,0,0,0,A4GRB6_PSEAI_Chen_2020,8.081632653061224,1.4693877551020407
0,0,explore,explore,3,3,0,3,AMIE_PSEAE_Wrenbeck_2017,,
1,48,supervised,explore,0,3,3,3,AMIE_PSEAE_Wrenbeck_2017,1.92,1.92
2,96,supervised,supervised,2,2,0,0,AMIE_PSEAE_Wrenbeck_2017,1.92,1.92
3,144,explore,esm2_wtm,0,1,1,0,AMIE_PSEAE_Wrenbeck_2017,1.4693877551020407,0.7346938775510203
0,0,explore,explore,1,1,0,1,AMIE_PSEAE_Wrenbeck_2017,,
1,48,supervised,explore,0,1,1,1,AMIE_PSEAE_Wrenbeck_2017,3.84,1.92
2,96,explore,explore,1,1,0,1,AMIE_PSEAE_Wrenbeck_2017,0.96,0.96
3,144,explore,supervised,0,4,4,0,AMIE_PSEAE_Wrenbeck_2017,1.4693877551020407,1.4693877551020407
0,0,explore,explore,1,1,0,1,AMIE_PSEAE_Wrenbeck_2017,,
1,48,esm2_wtm,esm2_wtm,1,1,0,0,AMIE_PSEAE_Wrenbeck_2017,0.0,3.84
2,96,supervised,supervised,10,10,0,0,AMIE_PSEAE_Wrenbeck_2017,6.72,0.0
3,144,supervised,supervised,2,2,0,0,AMIE_PSEAE_Wrenbeck_2017,5.877551020408163,0.0
0,0,explore,explore,1,1,0,1,AMIE_PSEAE_Wrenbeck_2017,,
1,48,supervised,explore,1,1,0,1,AMIE_PSEAE_Wrenbeck_2017,3.84,1.92
2,96,esm2_wtm,esm2_wtm,1,1,0,0,AMIE_PSEAE_Wrenbeck_2017,1.92,2.88
3,144,supervised,supervised,10,10,0,0,AMIE_PSEAE_Wrenbeck_2017,2.204081632653061,0.0
0,0,explore,supervised,0,1,1,0,AMIE_PSEAE_Wrenbeck_2017,,
1,48,esm2_wtm,supervised,1,5,4,1,AMIE_PSEAE_Wrenbeck_2017,0.0,1.92
2,96,supervised,supervised,6,6,0,0,AMIE_PSEAE_Wrenbeck_2017,3.84,0.0
3,144,supervised,supervised,4,4,0,0,AMIE_PSEAE_Wrenbeck_2017,5.142857142857142,0.0
0,0,explore,esm2_wtm,0,1,1,0,AMIE_PSEAE_Wrenbeck_2017,,
1,48,explore,explore,1,1,0,1,AMIE_PSEAE_Wrenbeck_2017,0.0,0.0
2,96,explore,esm2_wtm,0,1,1,0,AMIE_PSEAE_Wrenbeck_2017,0.96,0.0
3,144,explore,esm2_wtm,0,1,1,0,AMIE_PSEAE_Wrenbeck_2017,1.4693877551020407,0.7346938775510203
0,0,explore,supervised,0,1,1,0,AMIE_PSEAE_Wrenbeck_2017,,
1,48,supervised,supervised,1,1,0,0,AMIE_PSEAE_Wrenbeck_2017,1.92,1.92
2,96,supervised,explore,1,1,0,1,AMIE_PSEAE_Wrenbeck_2017,2.88,0.96
3,144,supervised,supervised,1,1,0,0,AMIE_PSEAE_Wrenbeck_2017,4.408163265306122,0.0
0,0,explore,explore,1,1,0,1,AMIE_PSEAE_Wrenbeck_2017,,
1,48,explore,esm2_wtm,0,1,1,0,AMIE_PSEAE_Wrenbeck_2017,0.0,0.0
2,96,explore,supervised,0,4,4,0,AMIE_PSEAE_Wrenbeck_2017,0.96,0.0
3,144,supervised,supervised,5,5,0,0,AMIE_PSEAE_Wrenbeck_2017,2.9387755102040813,0.7346938775510203
0,0,explore,esm2_wtm,0,1,1,0,AMIE_PSEAE_Wrenbeck_2017,,
1,48,esm2_wtm,esm2_wtm,1,1,0,0,AMIE_PSEAE_Wrenbeck_2017,0.0,1.92
2,96,explore,supervised,1,2,1,1,AMIE_PSEAE_Wrenbeck_2017,0.96,0.0
3,144,supervised,supervised,2,2,0,1,AMIE_PSEAE_Wrenbeck_2017,2.9387755102040813,0.7346938775510203
0,0,explore,supervised,0,1,1,0,AMIE_PSEAE_Wrenbeck_2017,,
1,48,esm2_wtm,supervised,1,10,9,2,AMIE_PSEAE_Wrenbeck_2017,0.0,1.92
2,96,supervised,supervised,5,5,0,1,AMIE_PSEAE_Wrenbeck_2017,4.8,0.0
3,144,supervised,explore,1,1,0,1,AMIE_PSEAE_Wrenbeck_2017,5.877551020408163,0.0
0,0,explore,explore,1,1,0,1,AMIE_PSEAE_Wrenbeck_2017,,
1,48,supervised,supervised,4,4,0,2,AMIE_PSEAE_Wrenbeck_2017,1.92,1.92
2,96,supervised,supervised,5,5,0,0,AMIE_PSEAE_Wrenbeck_2017,6.72,0.0
3,144,supervised,supervised,7,7,0,0,AMIE_PSEAE_Wrenbeck_2017,4.408163265306122,0.7346938775510203
0,0,explore,supervised,0,3,3,0,AMIE_PSEAE_Wrenbeck_2017,,
1,48,esm2_wtm,supervised,1,3,2,0,AMIE_PSEAE_Wrenbeck_2017,1.92,3.84
2,96,supervised,explore,1,1,0,1,AMIE_PSEAE_Wrenbeck_2017,3.84,0.0
3,144,supervised,supervised,9,9,0,0,AMIE_PSEAE_Wrenbeck_2017,5.142857142857142,0.0
0,0,explore,esm2_wtm,0,1,1,0,AMIE_PSEAE_Wrenbeck_2017,,
1,48,supervised,supervised,4,4,0,0,AMIE_PSEAE_Wrenbeck_2017,3.84,3.84
2,96,esm2_wtm,supervised,1,4,3,0,AMIE_PSEAE_Wrenbeck_2017,1.92,2.88
3,144,supervised,supervised,11,11,0,0,AMIE_PSEAE_Wrenbeck_2017,3.673469387755102,0.0
0,0,explore,esm2_wtm,0,1,1,0,AMIE_PSEAE_Wrenbeck_2017,,
1,48,supervised,supervised,1,1,0,0,AMIE_PSEAE_Wrenbeck_2017,1.92,1.92
2,96,supervised,esm2_wtm,0,1,1,0,AMIE_PSEAE_Wrenbeck_2017,1.92,0.0
3,144,explore,supervised,1,3,2,1,AMIE_PSEAE_Wrenbeck_2017,1.4693877551020407,0.0
0,0,explore,explore,2,2,0,2,AMIE_PSEAE_Wrenbeck_2017,,
1,48,supervised,supervised,7,7,0,1,AMIE_PSEAE_Wrenbeck_2017,1.92,0.0
2,96,supervised,supervised,4,4,0,0,AMIE_PSEAE_Wrenbeck_2017,6.72,2.88
3,144,supervised,supervised,7,7,0,0,AMIE_PSEAE_Wrenbeck_2017,7.346938775510204,2.204081632653061
0,0,explore,esm2_wtm,0,1,1,0,AMIE_PSEAE_Wrenbeck_2017,,
1,48,esm2_wtm,esm2_wtm,1,1,0,0,AMIE_PSEAE_Wrenbeck_2017,0.0,1.92
2,96,supervised,supervised,1,1,0,0,AMIE_PSEAE_Wrenbeck_2017,1.92,0.0
3,144,supervised,supervised,10,10,0,0,AMIE_PSEAE_Wrenbeck_2017,3.673469387755102,0.0
0,0,explore,supervised,0,1,1,0,AMIE_PSEAE_Wrenbeck_2017,,
1,48,esm2_wtm,explore,1,3,2,3,AMIE_PSEAE_Wrenbeck_2017,0.0,3.84
2,96,supervised,supervised,10,10,0,0,AMIE_PSEAE_Wrenbeck_2017,4.8,0.0
3,144,supervised,supervised,3,3,0,0,AMIE_PSEAE_Wrenbeck_2017,7.346938775510204,0.0
0,0,explore,explore,1,1,0,1,AMIE_PSEAE_Wrenbeck_2017,,
1,48,supervised,esm2_wtm,0,1,1,0,AMIE_PSEAE_Wrenbeck_2017,1.92,0.0
2,96,supervised,esm2_wtm,0,1,1,0,AMIE_PSEAE_Wrenbeck_2017,3.84,0.96
3,144,supervised,explore,1,1,0,1,AMIE_PSEAE_Wrenbeck_2017,8.816326530612244,0.7346938775510203
0,0,explore,esm2_wtm,0,1,1,0,AMIE_PSEAE_Wrenbeck_2017,,
1,48,esm2_wtm,supervised,1,1,0,0,AMIE_PSEAE_Wrenbeck_2017,0.0,1.92
2,96,supervised,supervised,3,3,0,0,AMIE_PSEAE_Wrenbeck_2017,2.88,0.0
3,144,supervised,supervised,7,7,0,0,AMIE_PSEAE_Wrenbeck_2017,2.204081632653061,0.0
0,0,explore,esm2_wtm,0,1,1,0,AMIE_PSEAE_Wrenbeck_2017,,
1,48,explore,esm2_wtm,0,1,1,0,AMIE_PSEAE_Wrenbeck_2017,0.0,0.0
2,96,explore,esm2_wtm,0,1,1,0,AMIE_PSEAE_Wrenbeck_2017,0.0,0.96
3,144,esm2_wtm,explore,1,1,0,1,AMIE_PSEAE_Wrenbeck_2017,1.4693877551020407,2.204081632653061
0,0,explore,esm2_wtm,0,1,1,0,AMIE_PSEAE_Wrenbeck_2017,,
1,48,esm2_wtm,esm2_wtm,1,1,0,0,AMIE_PSEAE_Wrenbeck_2017,0.0,1.92
2,96,explore,supervised,1,4,3,1,AMIE_PSEAE_Wrenbeck_2017,0.96,0.0
3,144,supervised,supervised,5,5,0,0,AMIE_PSEAE_Wrenbeck_2017,3.673469387755102,0.0
0,0,explore,supervised,0,2,2,0,AMIE_PSEAE_Wrenbeck_2017,,
1,48,supervised,supervised,1,1,0,0,AMIE_PSEAE_Wrenbeck_2017,1.92,1.92
2,96,supervised,supervised,4,4,0,0,AMIE_PSEAE_Wrenbeck_2017,2.88,1.92
3,144,supervised,supervised,4,4,0,0,AMIE_PSEAE_Wrenbeck_2017,3.673469387755102,0.7346938775510203
0,0,explore,supervised,1,3,2,1,AMIE_PSEAE_Wrenbeck_2017,,
1,48,esm2_wtm,esm2_wtm,1,1,0,0,AMIE_PSEAE_Wrenbeck_2017,0.0,1.92
2,96,supervised,supervised,3,3,0,1,AMIE_PSEAE_Wrenbeck_2017,1.92,0.0
3,144,supervised,supervised,6,6,0,0,AMIE_PSEAE_Wrenbeck_2017,5.142857142857142,0.0
0,0,explore,explore,1,1,0,1,AMIE_PSEAE_Wrenbeck_2017,,
1,48,supervised,explore,0,1,1,1,AMIE_PSEAE_Wrenbeck_2017,1.92,0.0
2,96,supervised,supervised,1,1,0,0,AMIE_PSEAE_Wrenbeck_2017,1.92,0.96
3,144,explore,esm2_wtm,0,1,1,0,AMIE_PSEAE_Wrenbeck_2017,1.4693877551020407,0.0
0,0,explore,supervised,0,1,1,0,AMIE_PSEAE_Wrenbeck_2017,,
1,48,explore,supervised,0,1,1,0,AMIE_PSEAE_Wrenbeck_2017,0.0,0.0
2,96,supervised,esm2_wtm,0,1,1,0,AMIE_PSEAE_Wrenbeck_2017,2.88,1.92
3,144,esm2_wtm,supervised,1,1,0,0,AMIE_PSEAE_Wrenbeck_2017,2.204081632653061,2.9387755102040813
0,0,explore,supervised,0,2,2,0,AMIE_PSEAE_Wrenbeck_2017,,
1,48,supervised,supervised,1,1,0,0,AMIE_PSEAE_Wrenbeck_2017,1.92,0.0
2,96,esm2_wtm,supervised,1,10,9,0,AMIE_PSEAE_Wrenbeck_2017,3.84,4.8
3,144,supervised,supervised,4,4,0,0,AMIE_PSEAE_Wrenbeck_2017,4.408163265306122,0.0
0,0,explore,esm2_wtm,0,1,1,0,AMIE_PSEAE_Wrenbeck_2017,,
1,48,supervised,explore,1,1,0,1,AMIE_PSEAE_Wrenbeck_2017,3.84,0.0
2,96,explore,supervised,0,4,4,0,AMIE_PSEAE_Wrenbeck_2017,0.96,0.96
3,144,explore,supervised,0,1,1,0,AMIE_PSEAE_Wrenbeck_2017,0.7346938775510203,0.7346938775510203
0,0,explore,supervised,0,1,1,0,AMIE_PSEAE_Wrenbeck_2017,,
1,48,supervised,esm2_wtm,0,1,1,0,AMIE_PSEAE_Wrenbeck_2017,1.92,0.0
2,96,supervised,supervised,1,1,0,0,AMIE_PSEAE_Wrenbeck_2017,1.92,0.0
