assay,seed,round,n_seen,rule,chosen,best_action,got,best,regret
A4GRB6_PSEAI_Chen_2020,2,0,0,auroc@0.60,explore,explore,0.47961630695443647,0.47961630695443647,0.0
A4GRB6_PSEAI_Chen_2020,2,0,0,auroc@0.65,explore,explore,0.47961630695443647,0.47961630695443647,0.0
A4GRB6_PSEAI_Chen_2020,2,0,0,spearman@0.20,explore,explore,0.47961630695443647,0.47961630695443647,0.0
A4GRB6_PSEAI_Chen_2020,2,1,48,enrich@1.5,esm2_wtm,esm2_wtm,5.0,5.0,0.0
A4GRB6_PSEAI_Chen_2020,2,1,48,enrich@1.0,esm2_wtm,esm2_wtm,5.0,5.0,0.0
A4GRB6_PSEAI_Chen_2020,2,1,48,auroc@0.55,esm2_wtm,esm2_wtm,5.0,5.0,0.0
A4GRB6_PSEAI_Chen_2020,2,1,48,auroc@0.60,esm2_wtm,esm2_wtm,5.0,5.0,0.0
A4GRB6_PSEAI_Chen_2020,2,1,48,auroc@0.65,esm2_wtm,esm2_wtm,5.0,5.0,0.0
A4GRB6_PSEAI_Chen_2020,2,1,48,spearman@0.20,esm2_wtm,esm2_wtm,5.0,5.0,0.0
A4GRB6_PSEAI_Chen_2020,2,2,96,enrich@1.5,supervised,supervised,8.0,8.0,0.0
A4GRB6_PSEAI_Chen_2020,2,2,96,enrich@1.0,supervised,supervised,8.0,8.0,0.0
A4GRB6_PSEAI_Chen_2020,2,2,96,auroc@0.55,esm2_wtm,supervised,1.0,8.0,7.0
A4GRB6_PSEAI_Chen_2020,2,2,96,auroc@0.60,esm2_wtm,supervised,1.0,8.0,7.0
A4GRB6_PSEAI_Chen_2020,2,2,96,auroc@0.65,esm2_wtm,supervised,1.0,8.0,7.0
A4GRB6_PSEAI_Chen_2020,2,2,96,spearman@0.20,esm2_wtm,supervised,1.0,8.0,7.0
A4GRB6_PSEAI_Chen_2020,2,3,144,enrich@1.5,supervised,supervised,1.0,1.0,0.0
A4GRB6_PSEAI_Chen_2020,2,3,144,enrich@1.0,supervised,supervised,1.0,1.0,0.0
A4GRB6_PSEAI_Chen_2020,2,3,144,auroc@0.55,supervised,supervised,1.0,1.0,0.0
A4GRB6_PSEAI_Chen_2020,2,3,144,auroc@0.60,supervised,supervised,1.0,1.0,0.0
A4GRB6_PSEAI_Chen_2020,2,3,144,auroc@0.65,supervised,supervised,1.0,1.0,0.0
A4GRB6_PSEAI_Chen_2020,2,3,144,spearman@0.20,supervised,supervised,1.0,1.0,0.0
A4GRB6_PSEAI_Chen_2020,3,0,0,enrich@1.5,explore,explore,0.47961630695443647,0.47961630695443647,0.0
A4GRB6_PSEAI_Chen_2020,3,0,0,enrich@1.0,explore,explore,0.47961630695443647,0.47961630695443647,0.0
A4GRB6_PSEAI_Chen_2020,3,0,0,auroc@0.55,explore,explore,0.47961630695443647,0.47961630695443647,0.0
A4GRB6_PSEAI_Chen_2020,3,0,0,auroc@0.60,explore,explore,0.47961630695443647,0.47961630695443647,0.0
A4GRB6_PSEAI_Chen_2020,3,0,0,auroc@0.65,explore,explore,0.47961630695443647,0.47961630695443647,0.0
A4GRB6_PSEAI_Chen_2020,3,0,0,spearman@0.20,explore,explore,0.47961630695443647,0.47961630695443647,0.0
A4GRB6_PSEAI_Chen_2020,3,1,48,enrich@1.5,explore,esm2_wtm,0.48426150121065376,5.0,4.5157384987893465
A4GRB6_PSEAI_Chen_2020,3,1,48,enrich@1.0,explore,esm2_wtm,0.48426150121065376,5.0,4.5157384987893465
A4GRB6_PSEAI_Chen_2020,3,1,48,auroc@0.55,esm2_wtm,esm2_wtm,5.0,5.0,0.0
A4GRB6_PSEAI_Chen_2020,3,1,48,auroc@0.60,esm2_wtm,esm2_wtm,5.0,5.0,0.0
A4GRB6_PSEAI_Chen_2020,3,1,48,auroc@0.65,esm2_wtm,esm2_wtm,5.0,5.0,0.0
A4GRB6_PSEAI_Chen_2020,3,1,48,spearman@0.20,esm2_wtm,esm2_wtm,5.0,5.0,0.0
A4GRB6_PSEAI_Chen_2020,3,2,96,enrich@1.5,explore,supervised,0.4792176039119804,8.0,7.52078239608802
A4GRB6_PSEAI_Chen_2020,3,2,96,enrich@1.0,explore,supervised,0.4792176039119804,8.0,7.52078239608802
A4GRB6_PSEAI_Chen_2020,3,2,96,auroc@0.55,esm2_wtm,supervised,5.0,8.0,3.0
A4GRB6_PSEAI_Chen_2020,3,2,96,auroc@0.60,esm2_wtm,supervised,5.0,8.0,3.0
A4GRB6_PSEAI_Chen_2020,3,2,96,auroc@0.65,esm2_wtm,supervised,5.0,8.0,3.0
A4GRB6_PSEAI_Chen_2020,3,2,96,spearman@0.20,esm2_wtm,supervised,5.0,8.0,3.0
A4GRB6_PSEAI_Chen_2020,3,3,144,enrich@1.5,esm2_wtm,supervised,5.0,7.0,2.0
A4GRB6_PSEAI_Chen_2020,3,3,144,enrich@1.0,esm2_wtm,supervised,5.0,7.0,2.0
A4GRB6_PSEAI_Chen_2020,3,3,144,auroc@0.55,esm2_wtm,supervised,5.0,7.0,2.0
A4GRB6_PSEAI_Chen_2020,3,3,144,auroc@0.60,esm2_wtm,supervised,5.0,7.0,2.0
A4GRB6_PSEAI_Chen_2020,3,3,144,auroc@0.65,esm2_wtm,supervised,5.0,7.0,2.0
A4GRB6_PSEAI_Chen_2020,3,3,144,spearman@0.20,esm2_wtm,supervised,5.0,7.0,2.0
A4GRB6_PSEAI_Chen_2020,4,0,0,enrich@1.5,explore,explore,0.47961630695443647,0.47961630695443647,0.0
A4GRB6_PSEAI_Chen_2020,4,0,0,enrich@1.0,explore,explore,0.47961630695443647,0.47961630695443647,0.0
A4GRB6_PSEAI_Chen_2020,4,0,0,auroc@0.55,explore,explore,0.47961630695443647,0.47961630695443647,0.0
A4GRB6_PSEAI_Chen_2020,4,0,0,auroc@0.60,explore,explore,0.47961630695443647,0.47961630695443647,0.0
A4GRB6_PSEAI_Chen_2020,4,0,0,auroc@0.65,explore,explore,0.47961630695443647,0.47961630695443647,0.0
A4GRB6_PSEAI_Chen_2020,4,0,0,spearman@0.20,explore,explore,0.47961630695443647,0.47961630695443647,0.0
A4GRB6_PSEAI_Chen_2020,4,1,48,enrich@1.5,supervised,esm2_wtm,1.0,5.0,4.0
A4GRB6_PSEAI_Chen_2020,4,1,48,enrich@1.0,supervised,esm2_wtm,1.0,5.0,4.0
A4GRB6_PSEAI_Chen_2020,4,1,48,auroc@0.55,supervised,esm2_wtm,1.0,5.0,4.0
A4GRB6_PSEAI_Chen_2020,4,1,48,auroc@0.60,supervised,esm2_wtm,1.0,5.0,4.0
A4GRB6_PSEAI_Chen_2020,4,1,48,auroc@0.65,supervised,esm2_wtm,1.0,5.0,4.0
A4GRB6_PSEAI_Chen_2020,4,1,48,spearman@0.20,esm2_wtm,esm2_wtm,5.0,5.0,0.0
A4GRB6_PSEAI_Chen_2020,4,2,96,enrich@1.5,supervised,esm2_wtm,3.0,5.0,2.0
A4GRB6_PSEAI_Chen_2020,4,2,96,enrich@1.0,supervised,esm2_wtm,3.0,5.0,2.0
A4GRB6_PSEAI_Chen_2020,4,2,96,auroc@0.55,supervised,esm2_wtm,3.0,5.0,2.0
A4GRB6_PSEAI_Chen_2020,4,2,96,auroc@0.60,supervised,esm2_wtm,3.0,5.0,2.0
A4GRB6_PSEAI_Chen_2020,4,2,96,auroc@0.65,supervised,esm2_wtm,3.0,5.0,2.0
A4GRB6_PSEAI_Chen_2020,4,2,96,spearman@0.20,esm2_wtm,esm2_wtm,5.0,5.0,0.0
A4GRB6_PSEAI_Chen_2020,4,3,144,enrich@1.5,supervised,esm2_wtm,4.0,5.0,1.0
A4GRB6_PSEAI_Chen_2020,4,3,144,enrich@1.0,supervised,esm2_wtm,4.0,5.0,1.0
A4GRB6_PSEAI_Chen_2020,4,3,144,auroc@0.55,supervised,esm2_wtm,4.0,5.0,1.0
A4GRB6_PSEAI_Chen_2020,4,3,144,auroc@0.60,supervised,esm2_wtm,4.0,5.0,1.0
A4GRB6_PSEAI_Chen_2020,4,3,144,auroc@0.65,supervised,esm2_wtm,4.0,5.0,1.0
A4GRB6_PSEAI_Chen_2020,4,3,144,spearman@0.20,esm2_wtm,esm2_wtm,5.0,5.0,0.0
A4GRB6_PSEAI_Chen_2020,5,0,0,enrich@1.5,explore,explore,0.47961630695443647,0.47961630695443647,0.0
A4GRB6_PSEAI_Chen_2020,5,0,0,enrich@1.0,explore,explore,0.47961630695443647,0.47961630695443647,0.0
A4GRB6_PSEAI_Chen_2020,5,0,0,auroc@0.55,explore,explore,0.47961630695443647,0.47961630695443647,0.0
A4GRB6_PSEAI_Chen_2020,5,0,0,auroc@0.60,explore,explore,0.47961630695443647,0.47961630695443647,0.0
A4GRB6_PSEAI_Chen_2020,5,0,0,auroc@0.65,explore,explore,0.47961630695443647,0.47961630695443647,0.0
A4GRB6_PSEAI_Chen_2020,5,0,0,spearman@0.20,explore,explore,0.47961630695443647,0.47961630695443647,0.0
A4GRB6_PSEAI_Chen_2020,5,1,48,enrich@1.5,esm2_wtm,esm2_wtm,5.0,5.0,0.0
A4GRB6_PSEAI_Chen_2020,5,1,48,enrich@1.0,esm2_wtm,esm2_wtm,5.0,5.0,0.0
A4GRB6_PSEAI_Chen_2020,5,1,48,auroc@0.55,esm2_wtm,esm2_wtm,5.0,5.0,0.0
A4GRB6_PSEAI_Chen_2020,5,1,48,auroc@0.60,esm2_wtm,esm2_wtm,5.0,5.0,0.0
A4GRB6_PSEAI_Chen_2020,5,1,48,auroc@0.65,esm2_wtm,esm2_wtm,5.0,5.0,0.0
A4GRB6_PSEAI_Chen_2020,5,1,48,spearman@0.20,esm2_wtm,esm2_wtm,5.0,5.0,0.0
A4GRB6_PSEAI_Chen_2020,5,2,96,enrich@1.5,supervised,supervised,5.0,5.0,0.0
A4GRB6_PSEAI_Chen_2020,5,2,96,enrich@1.0,supervised,supervised,5.0,5.0,0.0
A4GRB6_PSEAI_Chen_2020,5,2,96,auroc@0.55,supervised,supervised,5.0,5.0,0.0
A4GRB6_PSEAI_Chen_2020,5,2,96,auroc@0.60,supervised,supervised,5.0,5.0,0.0
A4GRB6_PSEAI_Chen_2020,5,2,96,auroc@0.65,supervised,supervised,5.0,5.0,0.0
A4GRB6_PSEAI_Chen_2020,5,2,96,spearman@0.20,supervised,supervised,5.0,5.0,0.0
A4GRB6_PSEAI_Chen_2020,5,3,144,enrich@1.5,supervised,supervised,4.0,4.0,0.0
A4GRB6_PSEAI_Chen_2020,5,3,144,enrich@1.0,supervised,supervised,4.0,4.0,0.0
A4GRB6_PSEAI_Chen_2020,5,3,144,auroc@0.55,supervised,supervised,4.0,4.0,0.0
A4GRB6_PSEAI_Chen_2020,5,3,144,auroc@0.60,supervised,supervised,4.0,4.0,0.0
A4GRB6_PSEAI_Chen_2020,5,3,144,auroc@0.65,supervised,supervised,4.0,4.0,0.0
A4GRB6_PSEAI_Chen_2020,5,3,144,spearman@0.20,supervised,supervised,4.0,4.0,0.0
A4GRB6_PSEAI_Chen_2020,6,0,0,enrich@1.5,explore,explore,0.47961630695443647,0.47961630695443647,0.0
A4GRB6_PSEAI_Chen_2020,6,0,0,enrich@1.0,explore,explore,0.47961630695443647,0.47961630695443647,0.0
A4GRB6_PSEAI_Chen_2020,6,0,0,auroc@0.55,explore,explore,0.47961630695443647,0.47961630695443647,0.0
A4GRB6_PSEAI_Chen_2020,6,0,0,auroc@0.60,explore,explore,0.47961630695443647,0.47961630695443647,0.0
A4GRB6_PSEAI_Chen_2020,6,0,0,auroc@0.65,explore,explore,0.47961630695443647,0.47961630695443647,0.0
A4GRB6_PSEAI_Chen_2020,6,0,0,spearman@0.20,explore,explore,0.47961630695443647,0.47961630695443647,0.0
A4GRB6_PSEAI_Chen_2020,6,1,48,enrich@1.5,esm2_wtm,supervised,5.0,6.0,1.0
A4GRB6_PSEAI_Chen_2020,6,1,48,enrich@1.0,esm2_wtm,supervised,5.0,6.0,1.0
A4GRB6_PSEAI_Chen_2020,6,1,48,auroc@0.55,esm2_wtm,supervised,5.0,6.0,1.0
A4GRB6_PSEAI_Chen_2020,6,1,48,auroc@0.60,esm2_wtm,supervised,5.0,6.0,1.0
A4GRB6_PSEAI_Chen_2020,6,1,48,auroc@0.65,esm2_wtm,supervised,5.0,6.0,1.0
A4GRB6_PSEAI_Chen_2020,6,1,48,spearman@0.20,esm2_wtm,supervised,5.0,6.0,1.0
A4GRB6_PSEAI_Chen_2020,6,2,96,enrich@1.5,supervised,supervised,9.0,9.0,0.0
A4GRB6_PSEAI_Chen_2020,6,2,96,enrich@1.0,supervised,supervised,9.0,9.0,0.0
A4GRB6_PSEAI_Chen_2020,6,2,96,auroc@0.55,esm2_wtm,supervised,1.0,9.0,8.0
A4GRB6_PSEAI_Chen_2020,6,2,96,auroc@0.60,esm2_wtm,supervised,1.0,9.0,8.0
A4GRB6_PSEAI_Chen_2020,6,2,96,auroc@0.65,esm2_wtm,supervised,1.0,9.0,8.0
A4GRB6_PSEAI_Chen_2020,6,2,96,spearman@0.20,esm2_wtm,supervised,1.0,9.0,8.0
A4GRB6_PSEAI_Chen_2020,6,3,144,enrich@1.5,supervised,supervised,5.0,5.0,0.0
A4GRB6_PSEAI_Chen_2020,6,3,144,enrich@1.0,supervised,supervised,5.0,5.0,0.0
A4GRB6_PSEAI_Chen_2020,6,3,144,auroc@0.55,supervised,supervised,5.0,5.0,0.0
A4GRB6_PSEAI_Chen_2020,6,3,144,auroc@0.60,supervised,supervised,5.0,5.0,0.0
A4GRB6_PSEAI_Chen_2020,6,3,144,auroc@0.65,supervised,supervised,5.0,5.0,0.0
A4GRB6_PSEAI_Chen_2020,6,3,144,spearman@0.20,supervised,supervised,5.0,5.0,0.0
A4GRB6_PSEAI_Chen_2020,7,0,0,enrich@1.5,explore,explore,0.47961630695443647,0.47961630695443647,0.0
A4GRB6_PSEAI_Chen_2020,7,0,0,enrich@1.0,explore,explore,0.47961630695443647,0.47961630695443647,0.0
A4GRB6_PSEAI_Chen_2020,7,0,0,auroc@0.55,explore,explore,0.47961630695443647,0.47961630695443647,0.0
A4GRB6_PSEAI_Chen_2020,7,0,0,auroc@0.60,explore,explore,0.47961630695443647,0.47961630695443647,0.0
A4GRB6_PSEAI_Chen_2020,7,0,0,auroc@0.65,explore,explore,0.47961630695443647,0.47961630695443647,0.0
A4GRB6_PSEAI_Chen_2020,7,0,0,spearman@0.20,explore,explore,0.47961630695443647,0.47961630695443647,0.0
A4GRB6_PSEAI_Chen_2020,7,1,48,enrich@1.5,esm2_wtm,supervised,5.0,5.0,0.0
A4GRB6_PSEAI_Chen_2020,7,1,48,enrich@1.0,esm2_wtm,supervised,5.0,5.0,0.0
A4GRB6_PSEAI_Chen_2020,7,1,48,auroc@0.55,esm2_wtm,supervised,5.0,5.0,0.0
A4GRB6_PSEAI_Chen_2020,7,1,48,auroc@0.60,esm2_wtm,supervised,5.0,5.0,0.0
A4GRB6_PSEAI_Chen_2020,7,1,48,auroc@0.65,esm2_wtm,supervised,5.0,5.0,0.0
A4GRB6_PSEAI_Chen_2020,7,1,48,spearman@0.20,esm2_wtm,supervised,5.0,5.0,0.0
A4GRB6_PSEAI_Chen_2020,7,2,96,enrich@1.5,supervised,supervised,6.0,6.0,0.0
A4GRB6_PSEAI_Chen_2020,7,2,96,enrich@1.0,supervised,supervised,6.0,6.0,0.0
A4GRB6_PSEAI_Chen_2020,7,2,96,auroc@0.55,supervised,supervised,6.0,6.0,0.0
A4GRB6_PSEAI_Chen_2020,7,2,96,auroc@0.60,supervised,supervised,6.0,6.0,0.0
A4GRB6_PSEAI_Chen_2020,7,2,96,auroc@0.65,explore,supervised,0.43031784841075793,6.0,5.569682151589242
A4GRB6_PSEAI_Chen_2020,7,2,96,spearman@0.20,esm2_wtm,supervised,1.0,6.0,5.0
A4GRB6_PSEAI_Chen_2020,7,3,144,enrich@1.5,supervised,supervised,2.0,2.0,0.0
A4GRB6_PSEAI_Chen_2020,7,3,144,enrich@1.0,supervised,supervised,2.0,2.0,0.0
A4GRB6_PSEAI_Chen_2020,7,3,144,auroc@0.55,supervised,supervised,2.0,2.0,0.0
A4GRB6_PSEAI_Chen_2020,7,3,144,auroc@0.60,supervised,supervised,2.0,2.0,0.0
A4GRB6_PSEAI_Chen_2020,7,3,144,auroc@0.65,supervised,supervised,2.0,2.0,0.0
A4GRB6_PSEAI_Chen_2020,7,3,144,spearman@0.20,supervised,supervised,2.0,2.0,0.0
A4GRB6_PSEAI_Chen_2020,8,0,0,enrich@1.5,explore,explore,0.47961630695443647,0.47961630695443647,0.0
A4GRB6_PSEAI_Chen_2020,8,0,0,enrich@1.0,explore,explore,0.47961630695443647,0.47961630695443647,0.0
A4GRB6_PSEAI_Chen_2020,8,0,0,auroc@0.55,explore,explore,0.47961630695443647,0.47961630695443647,0.0
A4GRB6_PSEAI_Chen_2020,8,0,0,auroc@0.60,explore,explore,0.47961630695443647,0.47961630695443647,0.0
A4GRB6_PSEAI_Chen_2020,8,0,0,auroc@0.65,explore,explore,0.47961630695443647,0.47961630695443647,0.0
A4GRB6_PSEAI_Chen_2020,8,0,0,spearman@0.20,explore,explore,0.47961630695443647,0.47961630695443647,0.0
A4GRB6_PSEAI_Chen_2020,8,1,48,enrich@1.5,esm2_wtm,esm2_wtm,5.0,5.0,0.0
A4GRB6_PSEAI_Chen_2020,8,1,48,enrich@1.0,esm2_wtm,esm2_wtm,5.0,5.0,0.0
A4GRB6_PSEAI_Chen_2020,8,1,48,auroc@0.55,esm2_wtm,esm2_wtm,5.0,5.0,0.0
A4GRB6_PSEAI_Chen_2020,8,1,48,auroc@0.60,esm2_wtm,esm2_wtm,5.0,5.0,0.0
A4GRB6_PSEAI_Chen_2020,8,1,48,auroc@0.65,esm2_wtm,esm2_wtm,5.0,5.0,0.0
A4GRB6_PSEAI_Chen_2020,8,1,48,spearman@0.20,esm2_wtm,esm2_wtm,5.0,5.0,0.0
A4GRB6_PSEAI_Chen_2020,8,2,96,enrich@1.5,esm2_wtm,supervised,1.0,7.0,6.0
A4GRB6_PSEAI_Chen_2020,8,2,96,enrich@1.0,esm2_wtm,supervised,1.0,7.0,6.0
A4GRB6_PSEAI_Chen_2020,8,2,96,auroc@0.55,esm2_wtm,supervised,1.0,7.0,6.0
A4GRB6_PSEAI_Chen_2020,8,2,96,auroc@0.60,esm2_wtm,supervised,1.0,7.0,6.0
A4GRB6_PSEAI_Chen_2020,8,2,96,auroc@0.65,esm2_wtm,supervised,1.0,7.0,6.0
A4GRB6_PSEAI_Chen_2020,8,2,96,spearman@0.20,esm2_wtm,supervised,1.0,7.0,6.0
A4GRB6_PSEAI_Chen_2020,8,3,144,enrich@1.5,supervised,supervised,6.0,6.0,0.0
A4GRB6_PSEAI_Chen_2020,8,3,144,enrich@1.0,supervised,supervised,6.0,6.0,0.0
A4GRB6_PSEAI_Chen_2020,8,3,144,auroc@0.55,esm2_wtm,supervised,3.0,6.0,3.0
A4GRB6_PSEAI_Chen_2020,8,3,144,auroc@0.60,esm2_wtm,supervised,3.0,6.0,3.0
A4GRB6_PSEAI_Chen_2020,8,3,144,auroc@0.65,explore,supervised,0.4345679012345679,6.0,5.565432098765432
A4GRB6_PSEAI_Chen_2020,8,3,144,spearman@0.20,supervised,supervised,6.0,6.0,0.0
A4GRB6_PSEAI_Chen_2020,9,0,0,enrich@1.5,explore,explore,0.47961630695443647,0.47961630695443647,0.0
A4GRB6_PSEAI_Chen_2020,9,0,0,enrich@1.0,explore,explore,0.47961630695443647,0.47961630695443647,0.0
A4GRB6_PSEAI_Chen_2020,9,0,0,auroc@0.55,explore,explore,0.47961630695443647,0.47961630695443647,0.0
A4GRB6_PSEAI_Chen_2020,9,0,0,auroc@0.60,explore,explore,0.47961630695443647,0.47961630695443647,0.0
A4GRB6_PSEAI_Chen_2020,9,0,0,auroc@0.65,explore,explore,0.47961630695443647,0.47961630695443647,0.0
A4GRB6_PSEAI_Chen_2020,9,0,0,spearman@0.20,explore,explore,0.47961630695443647,0.47961630695443647,0.0
A4GRB6_PSEAI_Chen_2020,9,1,48,enrich@1.5,supervised,esm2_wtm,3.0,5.0,2.0
A4GRB6_PSEAI_Chen_2020,9,1,48,enrich@1.0,supervised,esm2_wtm,3.0,5.0,2.0
A4GRB6_PSEAI_Chen_2020,9,1,48,auroc@0.55,esm2_wtm,esm2_wtm,5.0,5.0,0.0
A4GRB6_PSEAI_Chen_2020,9,1,48,auroc@0.60,esm2_wtm,esm2_wtm,5.0,5.0,0.0
A4GRB6_PSEAI_Chen_2020,9,1,48,auroc@0.65,esm2_wtm,esm2_wtm,5.0,5.0,0.0
A4GRB6_PSEAI_Chen_2020,9,1,48,spearman@0.20,esm2_wtm,esm2_wtm,5.0,5.0,0.0
A4GRB6_PSEAI_Chen_2020,9,2,96,enrich@1.5,esm2_wtm,supervised,5.0,5.0,0.0
A4GRB6_PSEAI_Chen_2020,9,2,96,enrich@1.0,esm2_wtm,supervised,5.0,5.0,0.0
A4GRB6_PSEAI_Chen_2020,9,2,96,auroc@0.55,supervised,supervised,5.0,5.0,0.0
A4GRB6_PSEAI_Chen_2020,9,2,96,auroc@0.60,supervised,supervised,5.0,5.0,0.0
A4GRB6_PSEAI_Chen_2020,9,2,96,auroc@0.65,supervised,supervised,5.0,5.0,0.0
A4GRB6_PSEAI_Chen_2020,9,2,96,spearman@0.20,esm2_wtm,supervised,5.0,5.0,0.0
A4GRB6_PSEAI_Chen_2020,9,3,144,enrich@1.5,supervised,supervised,5.0,5.0,0.0
A4GRB6_PSEAI_Chen_2020,9,3,144,enrich@1.0,supervised,supervised,5.0,5.0,0.0
A4GRB6_PSEAI_Chen_2020,9,3,144,auroc@0.55,supervised,supervised,5.0,5.0,0.0
